"","gene_symbol","2021_02_12_DS1_Cell","2021_02_12_DS1_Pt","2021_02_12_DS76_Cell","2021_02_12_DS81_Cell","2024_07_02_DS76_Pt","2024_07_02_DS81_Pt"
"15444","COPB2",3852,2979,2355,1939,1549,1591
"15445","LRRC19",0,4,0,0,1,0
"15446","THAP7",1208,851,907,1130,858,2118
"15447","KNTC1",2639,2286,491,883,1370,2851
"15448","CCR10",16,3,2,2,0,63
"15449","NCMAP",29,4,2,0,10,6
"15450","BPIFC",0,0,0,0,0,1
"15451","WDR27",1819,1076,339,363,1718,1124
"15452","TXNRD2",1348,1162,746,470,1347,2390
"15453","C1QTNF8",0,0,0,0,0,0
"15454","OR56A3",0,0,0,0,0,0
"15455","FOXO4",1638,2846,528,483,790,556
"15456","POU3F2",0,0,0,0,0,0
"15457","PTP4A3",183,174,668,285,1340,2462
"15458","FOXD4L1",26,24,3,13,7,95
"15459","TMEM255B",136,96,154,2,239,21
"15460","PROS1",3,22,0,26,2,10
"15461","GAST",0,0,0,0,0,0
"15462","NUTM1",0,0,0,0,0,0
"15463","HDDC3",985,847,567,809,748,1524
"15464","BEX5",0,0,0,0,2,3
"15465","ZFP1",1096,819,647,844,247,184
"15467","CEND1",3,3,0,8,0,5
"15468","C6orf58",0,6,0,0,0,0
"15469","DHRS7C",0,0,0,0,0,0
"15470","DUSP8",98,63,9,6,0,223
"15471","SOCS3",3,399,80,0,352,716
"15472","SPEM2",2,0,0,0,0,0
"15473","SLITRK6",0,0,0,26,0,0
"15474","PIWIL3",0,0,0,0,0,0
"15475","LPAR5",137,16,2495,1674,839,586
"15476","XPOT",743,469,360,364,503,50
"15477","STING1",852,2964,983,178,1857,4749
"15478","PDE4B",1100,894,2213,850,1699,329
"15479","TAFA3",25,9,3,6,0,11
"15480","SNN",650,570,910,646,1314,701
"15481","KCNH7",0,0,0,0,0,0
"15483","NELL2",0,92,2,1252,16,133
"15484","SPDYE12",0,0,0,0,0,0
"15486","KRBA2",267,152,60,4,336,16
"15488","MED12",6930,6647,1942,1147,1824,987
"15489","ZNF93",3107,1231,722,1268,305,443
"15490","SEPTIN9",56809,65526,101590,56506,54363,71996
"15491","PRSS55",0,0,0,0,0,0
"15492","ODF4",0,0,0,0,0,0
"15493","FOXD4L4",1,9,1,2,2,5
"15494","CDCA2",959,802,1618,2533,997,802
"15495","OR7E14P",5,3,0,5,0,21
"15496","RALYL",0,0,0,0,0,0
"15497","AMER1",3664,3394,690,1409,819,295
"15498","ZBTB40",4049,3208,2295,2384,3468,1997
