"","id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DS1_Cell","DS1_Pt","DS76_Cell","DS81_Cell","DS76_Pt","DS81_Pt"
"30","TNK2",6392.63990400048,-4.92424180888883,0.98901582680927,-4.97893125206627,6.39363465295629e-07,0.00022078664180612,571,384,363,349,14190,19344
"31","CABLES1",315.271870234356,4.58973147424855,0.921034589065404,4.9832346458409,6.25300456393856e-07,0.00022078664180612,176,31,1358,149,29,18
"32","H1-2",657.101304773915,-3.54862617456733,0.717227088681772,-4.94770238124933,7.50946103512642e-07,0.000251214938690714,93,405,142,73,1412,1611
"33","NFKBIZ",1259.57410071484,-2.47741100134535,0.501414842057462,-4.94084098344547,7.77863294281364e-07,0.000252334138341879,587,3809,292,345,2091,1080
"34","PRX",1859.89746144891,-4.72023437479177,0.962528491456648,-4.90399444451601,9.39071463228338e-07,0.000295669412172334,303,274,122,47,2873,6727
"35","JUNB",3640.59713837954,-1.92997431052021,0.394138985084763,-4.89668463043601,9.74670710366422e-07,0.000298109998699216,2111,6898,1557,1103,4802,6133
"36","COL18A1",812.818835286325,-4.32336458296455,0.887036933100934,-4.87393976691679,1.09394356159172e-06,0.00032529627296776,32,758,54,127,510,3192
"37","MELTF",1039.43490901974,3.31419357574059,0.694275155943667,4.77360243610604,1.80959439847673e-06,0.000523559676640361,667,237,1552,2939,192,161
"38","TSPAN32",242.223294479678,-4.00702323766985,0.841339946170537,-4.76266847415045,1.91049575116736e-06,0.000524406590160169,24,166,39,21,916,212
"39","CLCN4",394.420261991764,3.31844597471729,0.696002580806679,4.76786446807591,1.86188963916908e-06,0.000524406590160169,535,92,283,1235,56,76
"40","RGL2",2366.60026158622,-3.97147768462426,0.83578370205708,-4.75180082460261,2.01612922855653e-06,0.000539566584792442,495,607,271,166,3959,7772
"41","LHPP",623.861528693514,-4.42271102053611,0.935376780787735,-4.72826684537913,2.26444457095163e-06,0.000591240954439932,44,274,33,84,377,2690
"42","SLC25A37",4093.18164028706,-2.63176366828395,0.558322206996286,-4.71370050359015,2.43258129441835e-06,0.000620018637065438,1576,11956,533,1439,3988,6918
