"","id","DS1_Cell","DS1_Pt","DS76_Cell","DS81_Cell","DS76_Pt","DS81_Pt","DS76_C","DS81_C","K_C","N_C","S_C","DS1_C"
"10515","PDCD6",5002,3836,3353,4024,3591,3171,3571,4326,3203,3273,3554,3344
"10516","YJEFN3",3360,1361,336,396,1077,12141,355,417,424,125,358,2246
"10517","ARPC4-TTLL3",927,1045,167,216,297,1413,176,228,374,216,246,620
"10518","PKD1P6",349,287,77,89,402,75,NA,NA,NA,NA,NA,NA
"10519","ZNF718",1273,845,495,358,522,157,522,377,861,100,348,851
"10520","SMIM20",812,860,526,536,320,410,563,582,529,410,520,614
"10521","TUNAR",176,24,1894,1613,404,736,1998,1700,2448,51,925,118
"10522","CDK3",460,496,111,104,623,1516,117,110,150,93,107,308
"10523","ATP6V1E2",231,233,192,134,213,123,203,141,326,153,316,154
"10524","GLI4",1419,1174,757,775,1799,4432,799,817,472,327,547,949
"10525","SELENOP",49,46,66,200,269,172,NA,NA,NA,NA,NA,NA
"10526","ZNF674",361,184,98,45,128,26,103,47,66,71,55,241
"10527","TMED7-TICAM2",281,262,132,172,106,84,139,181,157,87,103,188
"10528","ZNF345",694,267,152,148,332,76,160,156,124,138,85,464
"10529","SHANK3",619,762,597,21,6953,4811,1929,45,0,0,0,1344
"10530","ZNF550",1798,1436,588,935,1062,449,620,986,619,614,587,1202
"10531","CENPS-CORT",103,112,23,111,50,415,NA,NA,NA,NA,NA,NA
"10532","RNA5-8SP6",99,130,43,53,233,717,NA,NA,NA,NA,NA,NA
"10533","SHLD3",132,192,98,84,115,65,NA,NA,NA,NA,NA,NA
"10534","CCDC71L",455,660,365,671,396,340,573,983,560,435,596,477
"10535","EIF5AL1",137,240,319,248,61,36,337,261,606,302,816,92
"10536","ALG11",2497,1789,1569,1909,867,569,1655,2012,1177,1672,1569,1669
"10537","ATXN7L3B",6893,6111,4671,5185,4228,2670,4928,5465,3722,3133,4788,4608
"10538","PRKDC",25236,23727,15897,33281,17872,6467,16773,35081,20395,25402,22905,16871
"10539","PCDHGA6",170,194,13,276,121,137,14,291,73,34,19,114
"10540","UTP14C",628,402,143,124,433,227,151,131,133,540,0,420
"10541","PCDHGA11",254,206,38,208,39,103,40,219,1,40,443,170
"10542","ZNF260",2116,718,1035,838,475,304,1092,883,1295,1231,1261,1415
"10543","LYN",2068,1349,4962,5426,1928,472,5235,5719,6955,6308,3583,1383
"10544","PCDHGB7",184,235,39,60,16,53,41,63,15,21,134,123
"10545","NPIPB11",1334,999,377,623,372,1210,NA,NA,NA,NA,NA,NA
"10546","LRRC24",106,78,24,82,158,396,25,86,43,2,45,71
"10547","CHKB-CPT1B",2027,1769,381,304,1932,2593,402,320,435,263,411,1355
"10548","XNDC1N",107,116,63,66,171,60,NA,NA,NA,NA,NA,NA
"10549","AP5B1",2565,2177,1194,1575,1690,1885,1260,1660,1423,1081,1229,1715
"10550","CHMP4A",630,807,428,306,961,2776,1630,1244,1722,1503,1088,1201
"10551","PKD1P5",1600,1782,274,344,303,156,NA,NA,NA,NA,NA,NA
"10552","FPGT",159,128,145,119,89,47,153,125,235,134,95,106
"10553","MEX3A",1177,416,95,394,190,38,100,415,1109,4546,86,787
"10554","EEF1G",91143,81279,87290,82701,66701,140812,92099,87174,80730,63900,90984,60934
"10555","LOC100289518",43,27,13,35,49,38,NA,NA,NA,NA,NA,NA
"10556","CKLF-CMTM1",82,122,116,127,78,62,122,134,62,0,63,55
"10557","GVINP1",448,452,917,372,1604,106,968,392,367,242,260,300
"10558","MPV17L2",420,448,370,422,356,924,390,445,718,786,678,281
"10559","BORCS8",756,718,421,428,1012,862,NA,NA,NA,NA,NA,NA
"10560","DPP3",3603,3885,2469,2701,2244,4038,2605,2847,3427,2724,2342,2409
"10561","STX16-NPEPL1",419,518,93,29,532,73,98,31,55,26,50,280
"10562","ANKHD1-EIF4EBP3",5054,4341,2465,1896,1657,2150,2601,1999,2351,1376,1942,3379
"10563","BRK1",3807,4026,2913,2452,2538,5369,3073,2585,2719,2456,2245,2545
"10564","CHMP1B",3480,3687,1815,2156,1591,1221,1915,2273,1870,1477,1915,2327
"10565","HTD2",173,96,147,130,207,110,NA,NA,NA,NA,NA,NA
"10566","PDXDC2P",458,321,78,99,233,81,82,104,94,96,180,306
"10567","EID1",3540,4730,4858,4075,2426,1499,5126,4295,5886,3631,8450,2367
"10568","POLR2M",1258,1246,1661,2334,827,619,1753,2460,2533,2074,3649,841
"10569","FDXACB1",110,71,125,180,102,44,132,190,224,380,196,74
"10570","OR6J1",11,11,69,12,147,103,NA,NA,NA,NA,NA,NA
"10571","TIFAB",997,83,444,319,293,266,468,336,0,0,0,667
"10572","COA8",719,646,417,485,288,951,NA,NA,NA,NA,NA,NA
"10573","TRAPPC2B",208,189,185,178,172,227,NA,NA,NA,NA,NA,NA
"10574","DNAAF4",12,15,37,22,72,78,NA,NA,NA,NA,NA,NA
"10575","ZNF10",294,167,89,101,118,45,274,292,274,318,265,663
"10576","SMIM3",1322,3064,2795,663,2792,6108,2949,699,963,6,50,884
"10577","HMBS",1013,2574,707,674,1420,2256,746,710,1235,1455,1603,677
"10578","DND1",233,162,38,42,131,646,40,44,77,52,55,156
"10579","POLG2",1210,615,368,378,1134,653,388,398,559,513,454,809
"10580","SMIM10L1",2171,1983,1145,637,795,600,NA,NA,NA,NA,NA,NA
"10581","ZNF350",915,544,616,475,400,344,649,501,362,322,364,612
"10582","ZNF253",2422,818,1108,1561,388,154,1169,1645,1725,1079,1375,1619
"10583","C17orf100",35,30,53,15,59,21,56,16,54,24,42,23
"10584","LIMS3",108,86,55,55,33,19,NA,NA,NA,NA,NA,NA
"10585","LSM14A",1760,2111,2405,5346,684,1329,7033,9750,8613,8010,8468,6226
"10586","NHLRC4",240,118,201,85,272,371,212,90,83,51,150,160
"10587","GATC",2793,2302,1863,1918,1538,1107,1966,2022,1835,2409,2183,1867
"10588","ZNF271P",2102,1794,1035,1016,963,764,NA,NA,NA,NA,NA,NA
"10589","ZBED6",2879,1785,1328,1290,1541,63,1401,1360,1263,808,822,2187
"10590","FNTB",802,721,473,378,679,1145,499,398,509,878,884,536
"10591","LOC100420981",65,39,17,17,54,32,NA,NA,NA,NA,NA,NA
"10592","ZNF625",275,122,111,108,33,93,117,114,120,59,0,184
"10593","GALNT4",128,164,144,31,217,27,152,33,85,24,21,86
"10594","INAFM1",649,436,262,210,446,1237,NA,NA,NA,NA,NA,NA
"10595","CNPY2",2185,2250,1337,1572,1974,3761,1411,1657,1251,1630,1782,1461
"10596","CUX1",10044,9871,6455,8229,6089,4282,6811,9129,7075,4771,3738,7153
"10597","TEN1",570,670,312,191,540,417,329,201,427,328,341,381
"10598","P2RX5-TAX1BP3",111,79,27,33,438,128,28,35,19,48,19,74
"10599","CLEC5A",54,46,565,30,194,284,NA,NA,NA,NA,NA,NA
"10600","CHURC1",4112,3732,1787,2256,1480,1427,1885,2378,1733,1452,1933,2749
"10601","C17orf49",1642,1612,2208,502,1344,1292,2330,529,1881,953,818,1098
"10602","RTEL1",604,646,490,118,1214,1195,943,353,1195,1244,872,1110
"10603","ZNF578",354,199,158,180,172,427,167,191,185,72,124,237
"10604","PDF",966,986,723,856,877,636,763,902,842,1086,881,646
"10605","SYNJ2BP-COX16",36,18,45,83,109,222,47,87,11,11,40,24
"10606","TRIM34",865,823,550,537,788,341,580,566,800,620,499,578
"10607","MC1R",521,539,148,276,580,3425,156,291,191,25,34,348
"10608","CEP95",2968,2328,1289,1312,2076,1913,1360,1383,1419,1318,1348,1992
"10609","POC1B-GALNT4",171,300,198,132,56,24,209,139,153,178,142,114
"10610","NDUFC2-KCTD14",97,190,91,111,312,780,96,117,51,57,107,65
"10611","ZHX1-C8orf76",68,75,12,22,104,122,13,23,22,22,101,45
"10612","ACTG1P17",65,61,13,18,108,106,NA,NA,NA,NA,NA,NA
"10613","INAFM2",992,620,1393,760,1825,698,NA,NA,NA,NA,NA,NA
"10614","ST20-MTHFS",240,136,82,90,100,226,87,95,84,78,62,160
"10615","TGIF2-RAB5IF",85,121,50,43,98,48,NA,NA,NA,NA,NA,NA
"10616","THTPA",726,854,409,430,996,1488,432,453,384,380,334,485
"10617","MRPL46",767,647,608,619,697,1412,641,652,727,1028,1380,513
"10618","RBM15B",6769,6653,7123,7730,4922,3929,7515,8148,7987,7004,6771,4525
"10619","LOC105373383",105,112,19,25,58,149,NA,NA,NA,NA,NA,NA
"10620","PMF1-BGLAP",188,211,83,88,203,797,88,93,90,143,98,126
"10621","MRC1",469,1570,1934,369,844,790,2041,389,0,0,0,314
"10622","SCX",222,146,17,40,47,705,NA,NA,NA,NA,NA,NA
"10623","C16orf95",67,72,59,40,99,228,62,42,95,107,117,45
"10624","LOC100505915",41,44,25,36,138,101,NA,NA,NA,NA,NA,NA
"10625","CCPG1",844,485,952,711,389,543,1233,978,712,979,950,704
"10626","SULT1A3",1870,998,258,353,1208,4459,272,372,321,301,424,1250
"10627","ZNF865",3149,3112,1711,1983,1345,3341,1805,2090,1266,1171,1425,2105
"10628","BOP1",4769,5289,3357,4931,3922,9190,3542,5198,5075,5511,5536,3188
"10629","PECAM1",3764,1804,6059,3860,4779,10032,6393,4069,13,2,222,2516
"10630","TEN1-CDK3",1017,783,117,125,477,662,123,132,95,103,38,680
"10631","SMG1P7",422,370,150,166,694,2312,158,175,240,316,166,282
"10632","TMEM249",137,93,11,18,63,501,12,19,32,17,26,92
"10633","GAN",400,294,165,193,77,27,174,203,191,275,187,267
"10634","H2BC20P",343,336,155,173,1143,387,NA,NA,NA,NA,NA,NA
"10635","BOLA2-SMG1P6",811,1089,786,861,1332,1636,NA,NA,NA,NA,NA,NA
"10636","ISY1-RAB43",2737,2542,2868,2076,1827,2214,3026,2188,2097,1248,1416,1830
"10637","OVCA2",520,524,669,264,505,996,706,278,727,446,580,348
"10638","MRPL12",2472,2426,2996,2481,2465,4385,3161,2615,3749,4434,5062,1653
"10639","CCNQ",1468,1575,787,529,903,1180,NA,NA,NA,NA,NA,NA
"10640","GTF2I",17802,15566,12261,10123,10089,2263,12937,10671,12856,17896,16352,11902
"10641","ZNF234",899,610,563,472,435,149,594,498,290,382,408,601
"10642","RPS7P1",59,40,60,36,89,100,NA,NA,NA,NA,NA,NA
"10643","SRSF8",1503,1657,1768,2683,1541,1003,1865,2828,977,3197,2119,1005
"10644","FAM72C",1048,537,602,1562,222,168,635,1646,1202,1602,831,701
"10645","IKBKE",785,991,888,787,1353,841,937,830,1168,825,652,525
"10646","BPTFP1",252,293,54,40,612,224,NA,NA,NA,NA,NA,NA
"10647","LASP1NB",51,82,21,14,216,119,NA,NA,NA,NA,NA,NA
"10648","NBPF11",1078,1139,538,531,821,48,568,661,249,419,313,739
"10649","NOTCH2NLA",404,567,264,292,336,171,NA,NA,NA,NA,NA,NA
"10650","DYNLL2",7475,8336,4671,6283,3798,5070,4928,6623,3567,3025,4664,4997
"10651","OTUD7B",384,204,74,105,102,45,78,111,213,4,38,257
"10652","RBM8A",10251,10521,7911,8326,4999,5989,8375,8828,6807,9241,8039,6897
"10653","TIMM23",2503,2464,2293,2149,956,1743,2419,2265,2629,3197,3453,1673
"10654","RNF115",2886,3004,1893,1667,1765,1631,1997,1757,1746,1424,1871,1929
"10655","CFAP298-TCP10L",731,601,496,457,186,400,NA,NA,NA,NA,NA,NA
"10656","RPL17",26940,25279,24271,21621,28070,43174,25608,22790,23718,21742,30358,18011
"10657","SEC22B",4417,4126,3365,3111,2365,1243,3550,3279,2888,2364,3262,2953
"10658","FSBP",372,267,225,195,122,28,237,206,244,138,186,249
"10659","TXNIP",14228,24150,6191,3771,12349,22670,6532,3975,3549,2012,1977,9512
"10660","SRGAP2",7329,6880,2356,2720,4468,4662,2619,3009,2370,2152,2222,5239
"10661","BAHCC1",12167,19312,4805,6619,38275,4747,5070,6977,3587,26728,16474,8134
"10662","RASSF5",1779,2716,2839,3181,3458,2402,2995,3353,3943,2131,2792,1189
"10663","STRADA",2949,2807,1342,1497,2277,2916,1498,1578,1619,1352,1334,2205
"10664","NBPF15",800,689,769,424,1278,1032,827,353,1117,324,169,529
"10665","NCOA4",9294,16418,8930,8300,7399,2997,9422,8749,6396,4462,7126,6213
"10666","MRPS21",2139,2279,1041,910,1890,2602,1098,959,1173,2095,750,1430
"10667","MYO15B",17880,19940,2815,2873,35286,50135,2970,3028,362,27,385,11954
"10668","AARSD1",1497,1916,1016,1104,1304,2347,1072,1164,1024,1232,1182,1001
"10669","ZNF850",1222,594,555,918,410,249,586,968,800,533,946,816
"10670","LCN6",781,1099,589,2021,3130,19736,NA,NA,NA,NA,NA,NA
"10671","C17orf113",152,108,49,48,215,175,NA,NA,NA,NA,NA,NA
"10672","UPK3BL1",1371,1873,710,383,1646,3700,NA,NA,NA,NA,NA,NA
"10673","S1PR2",202,33,1153,159,135,73,1217,168,608,157,496,135
"10674","FDX2",236,354,353,223,437,1799,NA,NA,NA,NA,NA,NA
"10675","ZNF224",702,462,84,44,502,26,1040,767,877,627,617,2500
"10676","LIN37",355,303,69,89,339,1192,315,337,308,258,348,504
"10677","NDUFA7",1145,1466,1095,799,989,838,1155,842,1720,1410,1597,765
"10678","NBPF12",1069,900,733,1037,1502,273,1261,1573,996,1298,540,1374
"10679","SMIM17",27,46,14,15,73,35,15,16,10,9,21,18
"10680","IKBKG",3625,3937,1319,968,2131,2944,1392,1020,1439,792,1086,2423
"10681","ZNF587B",1156,1048,687,771,637,374,725,813,760,828,646,773
"10682","SPIB",102,166,67,997,1759,2609,71,1051,5890,389,1740,68
"10683","TMEM185A",1902,1505,436,440,371,668,460,509,545,440,536,1307
"10684","NBPF9",2335,2546,1159,1300,1755,785,1232,1370,1388,1602,834,1561
"10685","SLC25A53",615,313,77,136,152,77,81,143,483,340,316,411
"10686","EGLN2",4740,3762,3506,2442,5121,7885,3699,2574,3538,2526,2863,3169
"10687","LOC100129534",108,49,145,45,185,508,NA,NA,NA,NA,NA,NA
"10688","FMC1-LUC7L2",3014,3072,2353,1943,2108,777,NA,NA,NA,NA,NA,NA
"10689","ZNF559-ZNF177",132,164,36,48,61,131,38,51,39,27,71,88
"10690","NCBP2AS2",716,1012,540,704,864,1510,NA,NA,NA,NA,NA,NA
"10691","NBPF8",1731,1356,775,524,1468,780,818,552,824,1623,597,1157
"10692","H4C15",276,219,214,186,423,604,NA,NA,NA,NA,NA,NA
"10693","URGCP-MRPS24",13,20,16,18,84,185,17,19,17,4,26,9
"10694","NBPF14",1645,2785,1409,1093,1904,759,1487,1175,160,508,345,1114
"10695","TAF15",6649,5671,4959,2832,92,23,13242,12108,14588,11867,15302,9374
"10696","HSPE1-MOB4",85,39,85,108,58,15,90,114,135,87,43,57
"10697","RPS10-NUDT3",1322,1320,866,745,748,1276,914,785,1309,1117,1754,884
"10698","H4C14",105,218,80,66,396,1097,NA,NA,NA,NA,NA,NA
"10699","RASL10B",358,130,32,287,60,196,34,303,101,1592,1,239
"10700","LOC102724250",3825,3620,278,323,590,660,NA,NA,NA,NA,NA,NA
"10701","NBPF19",3440,3275,2169,1789,3601,1100,NA,NA,NA,NA,NA,NA
"10702","NBPF10",797,1175,300,651,741,473,317,686,97,786,57,533
"10703","LIX1L",3929,2755,3035,2284,1299,767,3202,2408,1950,4082,2584,2627
"10704","MILR1",933,1097,1322,1174,2820,1619,1395,1237,541,487,150,624
"10705","ANKRD34A",74,28,27,46,61,102,28,48,164,162,15,49
"10706","GTF2H5",956,1034,617,473,286,473,651,499,483,453,394,639
"10707","NUDT3",9210,10471,8572,9660,7494,4172,9044,10182,5452,7739,8210,6157
"10708","KMT2B",10635,10110,4089,5311,8033,9000,4314,5598,4029,3305,3687,7110
"10709","POM121C",13051,10310,8919,8223,5410,2594,9410,8668,9092,7719,8505,8725
"10710","CD24",7099,4723,29752,31367,19702,14289,31391,33064,52881,60498,55,4746
"10711","DCP1A",2855,2227,2024,2237,1217,614,2374,2570,1613,2627,2243,2060
"10712","ATP6V1FNB",132,105,37,47,86,77,NA,NA,NA,NA,NA,NA
"10713","NBPF26",1167,1294,360,536,343,283,NA,NA,NA,NA,NA,NA
"10714","SNURF",68,124,13,19,58,38,14,20,124,40,128,45
"10715","ZBTB8B",93,62,14,20,130,86,15,21,20,12,14,62
"10716","ZNHIT3",481,544,433,165,201,509,1078,1245,1183,1281,1339,953
"10717","CYFIP1",4421,3413,3020,2103,1224,1458,3216,2226,676,2912,7311,3968
"10718","H2BC8",20,217,20,27,377,354,NA,NA,NA,NA,NA,NA
"10719","USP27X",715,573,144,199,124,150,152,210,135,32,144,478
"10720","NOL12",1356,1254,874,1136,1476,2634,922,1197,969,1033,1132,907
"10721","CASTOR2",324,244,111,106,693,1364,NA,NA,NA,NA,NA,NA
"10722","NATD1",1870,1490,227,230,459,648,NA,NA,NA,NA,NA,NA
"10723","SOCS7",1520,1179,839,1203,1414,877,970,1386,1173,1273,1201,1799
"10724","TBC1D3",1112,581,436,455,1130,4652,NA,NA,NA,NA,NA,NA
"10725","RCC1L",2489,2121,2181,1743,1364,2173,NA,NA,NA,NA,NA,NA
"10726","RIMBP3B",207,59,414,262,149,204,437,276,305,250,424,138
"10727","NPEPPSP1",99,77,19,13,215,106,NA,NA,NA,NA,NA,NA
"10728","H3C6",98,28,41,26,92,66,NA,NA,NA,NA,NA,NA
"10729","NPHP3-ACAD11",277,130,26,29,125,36,27,31,25,26,0,185
"10730","ZNF280B",306,275,82,193,115,105,166,259,355,175,320,350
"10731","PPP4R3B",6381,6200,4576,4597,2576,844,NA,NA,NA,NA,NA,NA
"10732","SYNRG",3385,2433,1562,1500,1585,1038,3062,2332,4055,3060,2527,3520
"10733","NUDT18",207,135,293,224,466,676,309,236,542,257,330,138
"10734","ZNF2",463,175,293,294,180,136,309,310,331,307,256,310
"10735","PRAG1",1298,610,2841,3898,1324,1245,NA,NA,NA,NA,NA,NA
"10736","AATF",4140,5920,3712,3868,94,462,4999,5729,6284,4526,5264,3511
"10737","H2BC9",41,51,22,22,308,158,NA,NA,NA,NA,NA,NA
"10738","RIMBP3",238,108,320,572,185,346,338,603,540,732,617,159
"10739","ARHGAP23",1332,1756,1332,1102,1363,1292,2115,1713,738,2506,1638,2216
"10740","TUBGCP5",1178,807,821,1102,783,412,940,1271,990,1567,2437,1036
"10741","IKBKGP1",738,725,309,280,149,92,NA,NA,NA,NA,NA,NA
"10742","LOC102724594",5699,6569,7874,8464,325,1915,NA,NA,NA,NA,NA,NA
"10743","LOC102724428",593,6157,229,202,1117,2154,NA,NA,NA,NA,NA,NA
"10744","UHRF1",57297,65343,41096,41469,28675,25686,43360,43712,34962,52245,70222,38306
"10745","ORAI1",1289,1292,1391,1074,1249,3069,1942,1304,1089,1090,1003,1077
"10746","PIK3R6",83,118,507,13,1016,423,535,14,364,98,62,55
"10747","TADA2A",1624,1277,842,830,713,794,1100,1045,1373,1356,1153,1290
"10748","LOC389831",3347,2043,18,784,44,301,NA,NA,NA,NA,NA,NA
"10749","H4C5",22,45,25,17,133,126,NA,NA,NA,NA,NA,NA
"10750","LOC102723996",1481,1345,74,1824,87,1891,NA,NA,NA,NA,NA,NA
"10751","TYW1B",176,156,67,102,78,96,71,108,74,376,337,118
"10752","F8A3",3114,3915,417,643,646,1141,440,678,334,756,44,2082
"10753","PIGW",690,722,507,525,307,162,660,637,699,882,903,554
"10754","H2BC7",11,42,15,35,57,36,NA,NA,NA,NA,NA,NA
"10755","ZNF670",436,107,446,293,129,75,471,309,306,406,416,291
"10756","TRAC",795,384,6217,9043,3006,13845,NA,NA,NA,NA,NA,NA
"10757","RDM1",43,63,22,38,143,305,50,64,84,0,19,49
"10758","DDX52",1539,1300,1840,1735,1180,724,2025,1924,1889,2484,2305,1815
"10759","ZNF8",2477,1211,930,1284,1024,353,981,1353,866,1023,926,1656
"10760","GGNBP2",4373,3348,1447,2286,761,1547,2720,3005,2565,2380,2314,3632
"10761","ACACA",1804,1269,1636,1193,1137,2022,2757,3217,4631,5507,6170,2266
"10762","C11orf98",1353,1088,1408,1241,1339,2836,NA,NA,NA,NA,NA,NA
"10763","H3C10",61,77,41,16,214,330,NA,NA,NA,NA,NA,NA
"10764","TSTD3",21,34,19,23,22,79,20,24,50,9,80,14
"10765","CCDC28A-AS1",56,62,17,37,15,49,NA,NA,NA,NA,NA,NA
"10766","LOC102724023",63,289,18,3824,264,8247,NA,NA,NA,NA,NA,NA
"10767","LOC102724200",613,459,489,519,421,1589,NA,NA,NA,NA,NA,NA
"10768","CCDC163",170,133,102,91,206,71,NA,NA,NA,NA,NA,NA
"10769","PAGR1",2220,2083,2440,1808,1949,1896,2574,1906,1945,1499,1876,1484
"10770","WASH5P",6002,3646,1814,1411,8734,2155,1914,1487,2492,1138,1412,4013
"10771","FRG1CP",888,905,149,838,463,437,NA,NA,NA,NA,NA,NA
"10772","LOC729998",678,586,845,751,77,27,NA,NA,NA,NA,NA,NA
"10773","TPTEP2-CSNK1E",116,53,31,11,41,26,NA,NA,NA,NA,NA,NA
"10774","MSANTD7",2390,1922,1104,1551,938,384,NA,NA,NA,NA,NA,NA
"10775","SCO2",509,433,444,511,371,1914,468,539,637,717,717,340
"10776","C2orf81",50,19,31,42,28,12,33,44,173,77,38,33
"10777","THSD8",379,324,325,321,556,1957,NA,NA,NA,NA,NA,NA
"10778","LOC728743",1229,1081,593,512,3632,3726,NA,NA,NA,NA,NA,NA
"10779","EEF1AKMT4",426,436,270,401,326,391,NA,NA,NA,NA,NA,NA
"10780","LOC122513141",2075,1561,564,564,2011,11938,NA,NA,NA,NA,NA,NA
"10781","UPK3BL2",924,854,219,120,1638,2613,NA,NA,NA,NA,NA,NA
"10782","LOC112694756",166,11,69,15,238,403,NA,NA,NA,NA,NA,NA
"10783","ARHGAP11B",608,510,341,327,701,58,128,367,461,204,279,791
"10784","ABCF2-H2BK1",1460,1365,1289,1224,709,643,NA,NA,NA,NA,NA,NA
"10785","POLR2J3",2831,2798,1286,1032,2640,816,2700,1624,2219,2052,4564,3660
"10786","GET1-SH3BGR",11,36,27,13,14,31,NA,NA,NA,NA,NA,NA
"10787","NOTCH2NLB",98,231,21,126,26,125,NA,NA,NA,NA,NA,NA
"10788","DERPC",1191,835,641,727,1547,2962,NA,NA,NA,NA,NA,NA
"10789","LOC728392",256,150,68,49,611,470,NA,NA,NA,NA,NA,NA
"10790","NOTCH2NLC",453,393,220,180,215,332,NA,NA,NA,NA,NA,NA
"10791","LOC114841035",197,103,71,92,189,476,NA,NA,NA,NA,NA,NA
"10792","DUS4L-BCAP29",408,448,283,232,324,356,NA,NA,NA,NA,NA,NA
"10793","C8orf44",236,199,74,68,246,126,NA,NA,NA,NA,NA,NA
"10794","C8orf44-SGK3",53,30,18,31,13,12,NA,NA,NA,NA,NA,NA
"10795","F8A1",3594,4013,1790,1199,1339,1822,1889,1264,319,1021,1752,2403
"10796","H2AC19",400,730,205,190,1268,3308,NA,NA,NA,NA,NA,NA
"10797","RPSA2",811,640,445,539,180,354,NA,NA,NA,NA,NA,NA
"10798","SYNM",NA,NA,NA,NA,NA,NA,1246,745,0,0,0,862
"10799","MYEF2",NA,NA,NA,NA,NA,NA,4,5,301,965,1054,13
"10800","STXBP5",NA,NA,NA,NA,NA,NA,0,0,801,287,420,0
"10801","ISM1",NA,NA,NA,NA,NA,NA,0,0,612,1038,256,0
"10802","ZMIZ1",NA,NA,NA,NA,NA,NA,22849,19101,8643,6731,7120,19951
"10803","RBM47",NA,NA,NA,NA,NA,NA,1926,559,1,0,0,403
"10804","DHCR24",NA,NA,NA,NA,NA,NA,0,0,9963,0,16079,0
"10805","CDKN2A",NA,NA,NA,NA,NA,NA,0,0,4775,0,12221,0
"10806","ITGA8",NA,NA,NA,NA,NA,NA,293,565,3,0,0,253
"10807","MAGI1",NA,NA,NA,NA,NA,NA,0,0,6152,0,2295,0
"10808","MEIS1",NA,NA,NA,NA,NA,NA,0,0,6492,0,3497,0
"10809","P2RY8",NA,NA,NA,NA,NA,NA,16309,20236,5374,4076,4405,11085
"10810","PVRIG2P",NA,NA,NA,NA,NA,NA,90,81,0,0,0,165
"10811","BMPR2",NA,NA,NA,NA,NA,NA,1871,1405,281,525,471,2355
"10812","CTSF",NA,NA,NA,NA,NA,NA,27,327,0,1,0,612
"10813","CPVL",NA,NA,NA,NA,NA,NA,857,826,0,0,0,5
"10814","PDE7B",NA,NA,NA,NA,NA,NA,42,160,0,0,0,315
"10815","BMP2",NA,NA,NA,NA,NA,NA,2004,359,2,0,3,14
"10816","ERBB3",NA,NA,NA,NA,NA,NA,58,117,2,2,3,90
"10817","CARD6",NA,NA,NA,NA,NA,NA,648,582,4,0,21,645
"10818","CCNA2",NA,NA,NA,NA,NA,NA,3705,2487,7724,6457,8269,2631
"10819","CALD1",NA,NA,NA,NA,NA,NA,1069,7,4,0,2,1447
"10820","ABHD2",NA,NA,NA,NA,NA,NA,3919,4208,2276,1999,2507,4324
"10821","KRT18",NA,NA,NA,NA,NA,NA,366,607,0,0,0,5
"10822","BCL3",NA,NA,NA,NA,NA,NA,417,151,26,13,16,160
"10823","NINL",NA,NA,NA,NA,NA,NA,14,1081,11,9,13,1459
"10824","CEP170B",NA,NA,NA,NA,NA,NA,7,351,9,4,6,2771
"10825","CEACAM6",NA,NA,NA,NA,NA,NA,9014,5579,7,0,1,11
"10826","WNT9A",NA,NA,NA,NA,NA,NA,1118,11,0,0,0,61
"10827","ARHGAP44",NA,NA,NA,NA,NA,NA,8,1,152,844,113,0
"10828","CSF3R",NA,NA,NA,NA,NA,NA,283,3,0,0,0,659
"10829","SYT2",NA,NA,NA,NA,NA,NA,16,134,0,0,0,230
"10830","STAB1",NA,NA,NA,NA,NA,NA,915,250,3,0,0,11
"10831","POU4F1",NA,NA,NA,NA,NA,NA,3,4412,0,0,0,5330
"10832","ADORA2B",NA,NA,NA,NA,NA,NA,271,21,0,0,0,66
"10833","ARPC1A",NA,NA,NA,NA,NA,NA,1965,1832,3382,2960,2943,1643
"10834","CHRDL1",NA,NA,NA,NA,NA,NA,0,0,3,751,78,0
"10835","C1QTNF4",NA,NA,NA,NA,NA,NA,1226,9,8,6,13,433
"10836","CD14",NA,NA,NA,NA,NA,NA,347,247,3,1,0,9
"10837","ARHGEF10",NA,NA,NA,NA,NA,NA,347,1778,19,127,23,931
"10838","ASB9",NA,NA,NA,NA,NA,NA,66,9,0,0,0,352
"10839","SLAMF7",NA,NA,NA,NA,NA,NA,468,77,1,1,1,3
"10840","ABCA9",NA,NA,NA,NA,NA,NA,696,45,2,0,0,16
"10841","ERICH3",NA,NA,NA,NA,NA,NA,148,384,1,1,0,3
"10842","ZDHHC1",NA,NA,NA,NA,NA,NA,6,160,0,0,0,189
"10843","LGALS3",NA,NA,NA,NA,NA,NA,945,54,1,1,0,1
"10844","RIBC2",NA,NA,NA,NA,NA,NA,3,102,0,0,0,402
"10845","LHX1",NA,NA,NA,NA,NA,NA,63,24,0,0,0,105
"10846","MAGED4B",NA,NA,NA,NA,NA,NA,0,0,497,0,832,1
"10847","MT1H",NA,NA,NA,NA,NA,NA,6,5,218,2923,0,5
"10848","PNMA3",NA,NA,NA,NA,NA,NA,11,25,0,0,0,382
"10849","WBP2NL",NA,NA,NA,NA,NA,NA,23,36,0,1,0,179
"10850","BMP6",NA,NA,NA,NA,NA,NA,72,53,1,0,0,29
"10851","ZNF366",NA,NA,NA,NA,NA,NA,675,43,0,0,0,1
"10852","NLRP12",NA,NA,NA,NA,NA,NA,179,216,13,6,3,37
"10853","PAK6",NA,NA,NA,NA,NA,NA,40,38,1,0,2,74
"10854","FSTL4",NA,NA,NA,NA,NA,NA,94,954,1,1,15,43
"10855","JAKMIP2",NA,NA,NA,NA,NA,NA,0,2,56,2,576,1
