"","id","DS1_Cell","DS1_Pt","DS76_Cell","DS81_Cell","DS76_Pt","DS81_Pt","DS76_C","DS81_C","K_C","N_C","S_C","DS1_C"
"7994","MLLT3",587,80,11,19,13,28,NA,NA,NA,NA,NA,NA
"7995","RRM2",7072,7050,8455,12280,5243,10696,9056,13158,21880,12276,14379,4769
"7996","TRAPPC12",459,532,224,220,808,1307,1786,1176,1923,1492,1556,1277
"7997","RPS21",11512,12267,9514,5559,11754,13659,10038,5860,9226,13254,10445,7696
"7998","MRM3",870,860,673,293,448,465,NA,NA,NA,NA,NA,NA
"7999","PTEN",5667,5431,4029,3976,1730,1577,9025,9753,7332,9553,6446,7843
"8000","RPS7",29207,28404,28154,26873,29022,44873,29705,28326,32760,29466,35975,19526
"8001","RNASEH1",2516,2767,2325,2694,1573,710,2453,2840,2563,3778,3207,1682
"8002","PRNP",5513,6089,2799,5232,1362,1842,2953,5515,1897,1876,2676,3686
"8003","TLN2",645,440,123,220,79,94,130,232,488,881,611,431
"8004","TVP23B",235,211,19,33,217,95,399,252,420,361,408,556
"8005","ZNF217",5805,4658,6948,4868,3123,452,7331,5131,4757,2962,2778,3881
"8006","SRGAP2C",1627,1805,903,1068,748,278,953,1126,810,831,1108,1088
"8007","ATPAF2",1268,1233,680,358,1419,700,717,377,904,889,718,848
"8008","PPIH",1833,2235,1548,1960,1128,1678,1633,2066,2023,3940,2571,1225
"8009","SHLD1",127,155,80,63,134,93,NA,NA,NA,NA,NA,NA
"8010","JMJD1C",4401,3322,1814,1868,975,660,6337,6592,11050,2675,13200,6556
"8011","SYNPO",352,577,34,29,214,118,36,31,396,18,53,235
"8012","ZNF554",603,454,227,226,175,230,240,238,132,167,202,403
"8013","RAB33B",690,1145,281,203,316,85,296,214,264,415,320,461
"8014","THOP1",4265,4475,2952,3363,4116,8746,NA,NA,NA,NA,NA,NA
"8015","USP19",4438,3487,3156,3374,4351,5008,3330,3556,3356,2831,3409,2968
"8016","QARS1",2882,3405,1677,2402,3768,7142,NA,NA,NA,NA,NA,NA
"8017","ORMDL3",2687,3986,1417,1265,2813,4321,1495,1333,1282,1577,1152,1796
"8018","EIF2AK3",5177,2278,4131,2517,1325,365,4359,2653,1360,1929,1323,3461
"8019","MOB3A",4673,3883,10492,2737,4264,11345,11070,2885,16068,649,4256,3124
"8020","KRCC1",1494,1109,1094,919,953,932,1154,969,836,782,850,999
"8021","NME6",1799,1350,1277,1238,920,811,1347,1305,802,1173,946,1203
"8022","CYCS",2006,2274,2935,3687,1990,1799,3097,3886,3670,3949,3637,1341
"8023","SLFN12",276,180,149,112,258,56,157,118,107,0,110,185
"8024","OR1A1",203,200,53,72,301,86,56,76,50,34,60,136
"8025","FRMD3",103,129,13,14,144,32,14,15,3,2,34,69
"8026","SNTB1",192,108,2857,3717,465,117,3014,3918,3734,3612,824,128
"8027","MTBP",711,586,267,530,297,143,282,559,541,770,585,475
"8028","TEFM",290,160,188,152,253,203,198,160,191,284,232,194
"8029","MRPL13",899,1009,868,910,596,720,916,959,1166,1520,1399,601
"8030","MALT1",2146,2670,3809,2315,1281,730,4019,2440,2366,1836,2078,1435
"8031","ISG20",667,892,1252,557,2405,7377,1482,639,509,178,826,497
"8032","MBOAT1",393,289,312,195,744,1031,329,206,165,0,237,263
"8033","CEBPB",749,747,300,4973,417,3979,NA,NA,NA,NA,NA,NA
"8034","PAIP1",2899,3047,2123,2339,1402,1243,2240,2466,2851,3208,2760,1938
"8035","CLEC7A",13,127,194,13,72,89,NA,NA,NA,NA,NA,NA
"8036","C5orf34",439,301,290,365,343,173,306,385,499,295,432,293
"8037","ZNF131",3653,3017,1948,2034,1414,642,2055,2144,2080,2506,2129,2442
"8038","MACROD2",771,5112,107,68,862,287,113,72,421,58,14,515
"8039","DPAGT1",1872,1824,1026,1252,1486,2167,1083,1320,1406,1199,1440,1252
"8040","BSG",14443,20402,10903,14190,7805,21370,11504,14957,9642,10116,18600,9656
"8041","HINFP",1846,1182,758,785,1314,2545,800,827,617,871,579,1234
"8042","CERS6",4007,3177,1789,2637,1528,1437,4160,5927,2783,4871,3225,6289
"8043","SPTLC3",28,17,13,33,37,28,14,35,2,13,42,19
"8044","COPRS",75,53,52,48,111,164,892,776,786,1276,1012,680
"8045","TP53RK",1361,860,1087,1209,638,687,1147,1274,1419,1561,1079,910
"8046","B3GALT1",61,43,22,14,99,53,23,15,17,2,13,41
"8047","BPGM",190,2374,298,236,400,587,314,249,337,445,364,127
"8048","POP7",962,1130,1042,1199,650,1637,1099,1264,1651,1995,1688,643
"8049","ALG14",150,258,170,193,148,192,179,203,174,254,242,100
"8050","SUCLG2",318,705,1170,2167,362,348,1234,2284,2756,0,2107,213
"8051","STARD5",44,122,45,44,171,305,47,46,80,134,64,29
"8052","IL16",70,544,6206,1832,8062,2499,6548,1931,4687,1150,1254,47
"8053","GNB2",6447,10358,5409,5642,5527,15297,5707,5947,7610,5819,6473,4310
"8054","MCRIP2",1669,566,519,687,494,981,NA,NA,NA,NA,NA,NA
"8055","C2CD2L",2753,2129,724,941,1531,1933,764,992,986,612,950,1841
"8056","PRSS27",42,27,41,47,75,265,43,50,48,38,59,28
"8057","SYNPO2",60,38,22,38,47,41,23,40,10,6,48,40
"8058","CLP1",575,460,510,510,385,524,538,538,518,673,424,384
"8059","EFCAB3",97,53,15,21,142,22,16,22,25,14,1,65
"8060","COPS9",454,601,421,289,503,1241,NA,NA,NA,NA,NA,NA
"8061","GTPBP2",903,648,197,153,1591,2168,1841,2137,2787,1777,2765,2882
"8062","FGGY",148,143,117,35,179,155,306,161,278,117,135,177
"8063","TCEAL1",2159,2019,301,305,180,243,318,321,161,371,274,1443
"8064","ZNF24",4662,3550,2852,3926,1778,1644,3652,4788,3885,3490,4132,3726
"8065","MANEA",367,357,43,621,112,84,45,655,471,976,604,245
"8066","AFF1",5711,4213,3421,2614,3826,261,4497,3478,12265,4309,4561,4878
"8067","FIBP",2420,3647,2369,2049,2711,4976,2500,2160,4443,3010,3135,1618
"8068","BANP",1172,915,587,685,738,2388,733,865,963,730,758,959
"8069","PPP1CA",10500,15832,12134,10349,10631,18348,12938,10993,15879,10375,13733,7101
"8070","HCFC1",5650,5656,2818,3064,2027,6605,18889,21206,19987,21482,19259,18959
"8071","KLHL6",4434,2705,6720,2128,4951,2070,7090,2243,2932,4353,968,2964
"8072","CHCHD1",933,975,742,699,912,1285,783,737,883,923,848,624
"8073","MRPL52",1195,1279,1479,860,1578,2376,1586,918,1867,2058,1778,821
"8074","RND1",135,55,75,63,34,178,79,66,98,58,93,90
"8075","RAD9A",1878,1475,839,972,2820,3829,885,1025,1190,636,979,1256
"8076","AGAP5",316,428,138,151,450,338,241,209,226,150,180,515
"8077","WASHC2C",6496,7147,3297,2539,4087,1789,NA,NA,NA,NA,NA,NA
"8078","TMEM134",831,859,454,412,783,1236,479,434,485,334,387,556
"8079","ZMAT3",1489,1219,4038,661,1361,187,4260,697,1645,458,688,995
"8080","ZFAND4",244,523,174,163,147,133,184,171,111,270,21,163
"8081","ZNF738",1663,1112,422,477,582,272,445,503,748,608,697,1112
"8082","SLFN11",8718,5646,3532,5410,4648,2506,3727,5703,4711,6825,5096,5828
"8083","CORO1B",1295,1813,3098,1661,2309,4642,3599,1983,2911,914,2036,1239
"8084","FUT10",242,210,319,357,103,22,337,376,202,454,364,162
"8085","LRRC20",768,599,381,760,235,1069,402,801,1336,674,926,513
"8086","MUS81",3058,2254,1524,1563,3163,4686,1608,1648,2021,1360,1635,2044
"8087","TMEM217",256,228,285,67,519,173,301,71,25,21,20,171
"8088","ZNF596",288,183,140,187,242,194,148,197,74,94,120,193
"8089","CFL1",13840,15813,11505,9031,15174,20453,37129,29240,47067,35585,37360,28463
"8090","TMCC1",908,810,711,506,692,261,750,533,546,470,517,607
"8091","NAA16",1297,1252,514,839,843,363,542,884,791,743,796,867
"8092","PSME3IP1",3133,3022,1870,1806,2324,2995,NA,NA,NA,NA,NA,NA
"8093","RAB43",493,529,1128,559,2613,1857,1190,589,964,72,321,330
"8094","ZNG1A",1279,1122,1595,616,1370,430,NA,NA,NA,NA,NA,NA
"8095","DCP2",6606,3947,4231,5918,2004,1143,4464,6238,4650,4207,4793,4416
"8096","SNX32",607,305,120,236,331,731,127,249,22,52,0,406
"8097","RPL38",10260,8832,10069,8926,7394,16962,11505,10012,12401,10060,12070,7429
"8098","RARG",204,324,664,204,573,492,701,215,287,60,237,136
"8099","CES3",69,100,21,51,122,382,22,54,20,22,23,46
"8100","SSH3",710,598,143,117,1549,1583,151,123,832,100,1146,491
"8101","CES2",3026,2904,2820,2546,1494,579,2975,2684,2203,2084,2187,2023
"8102","PDP2",1926,480,1003,1099,469,185,1058,1158,1326,1714,1283,1288
"8103","SP3",3325,2687,2352,3125,807,311,5184,6498,5044,5122,5502,4332
"8104","DMXL1",2865,2475,1654,1775,1559,231,1745,1871,2129,1382,1234,1915
"8105","METAP1D",351,337,131,292,414,554,138,308,152,348,617,235
"8106","ZNF621",173,71,100,87,233,202,1131,1033,981,1055,1019,1820
"8107","EGFL7",2393,497,2327,581,7032,7528,2539,621,449,87,51,1615
"8108","NADSYN1",8622,6716,2210,2282,7289,8760,2332,2405,2012,2651,1573,5764
"8109","DHCR7",2278,1385,1448,1709,310,825,1528,1801,3472,4129,2107,1523
"8110","ACTE1P",66,66,11,19,118,121,NA,NA,NA,NA,NA,NA
"8111","RNASEH2C",3522,3681,1318,1543,3685,7311,1391,1626,1853,1285,1450,2354
"8112","ANKRD13D",5121,4834,1746,1567,4597,6857,2182,1858,1844,940,1441,3873
"8113","MYD88",4967,5511,3236,3539,5473,2626,3414,3730,3887,2326,3132,3321
"8114","OXSR1",4927,4702,3076,3505,2401,1301,3245,3695,3604,4856,3869,3294
"8115","PHF8",1751,1325,418,495,675,266,2549,2570,2756,2740,2322,6887
"8116","LCLAT1",1486,1010,557,943,391,229,588,994,885,1460,1142,993
"8117","KAT5",2876,2543,2777,2545,2198,2922,2930,2683,2380,2212,2345,1923
"8118","SH3RF3",365,259,155,1399,134,1591,164,1475,152,0,60,244
"8119","DCAKD",2002,1697,1169,1021,1156,2124,1233,1076,1084,1338,1018,1338
"8120","ARPP21",6347,161,5588,5053,4675,293,5896,5326,7181,2285,11960,4243
"8121","TADA2B",1701,1546,739,1257,787,912,780,1325,1081,953,924,1137
"8122","CCDC96",100,89,43,65,19,66,45,69,20,52,23,67
"8123","GRK2",6298,6610,1254,769,9288,4879,NA,NA,NA,NA,NA,NA
